URL,Funciona,Titulo
http://www.ddbj.nig.ac.jp,NO,
http://www.ncbi.nlm.nih.gov,SI,algo salio mal
http://www.ebi.ac.uk,SI,
http://bigd.big.ac.cn,SI,
http://www.ddbj.nig.ac.jp,SI,
http://proteininformationresource.org/iPTMnet,SI,
www.ncbi.nlm.nih.gov/genbank/,SI,
http://kobic.re.kr/3divv2/,SI,
http://combio.snu.ac.kr/aspedia,NO,
http://cirgrdb.biols.ac.cn,SI,
http://dbcorc.cam-su.org/,SI,
http://biocc.hrbmu.edu.cn/DiseaseEnhancer/,SI,
http://rna.sysu.edu.cn/dreamBase,SI,
http://61.148.58.210:8080/EpiDenovo/,SI,
http://www.exoRBase.org,SI,
http://zdzlab.einstein.yu.edu/1/hedd.php,SI,
http://icg.big.ac.cn,SI,
http://itsonedb.cloud.ba.infn.it/,SI,
http://www.bio-bigdata.com/Lnc2Meth,SI,
http://m6avar.renlab.org/,SI,
http://mcube.nju.edu.cn/jwang/lab/soft/mirtrans/,NO,
http://medreader.org/,SI,
https://mircarta.cs.uni-saarland.de/,SI,algo salio mal
https://cm.jefferson.edu/MINTbase/,SI,错误-访问被禁止
http://ccg.vital-it.ch/mga/,SI,Home
http://www.bio-bigdata.com/msdd/,SI,404 Not Found
http://overgenedb.amu.edu.pl,NO,"
    dbCoRC - Home
"
http://rise.zhanglab.net,SI,ITSone DB
http://iimcb.genesilico.pl/RNArchitecture/,SI,MeDReaders
http://www.translatomedb.net/,SI,
http://appris-tools.org,SI,MINTbase
http://brp.kfshrc.edu.sa/ared,NO,algo salio mal
https://www.ncbi.nlm.nih.gov/CCDS/CcdsBrowse.cgi and ftp://ftp.ncbi.nlm.nih.gov/pub/CCDS/,SI,algo salio mal
http://dbtss.hgc.jp/,SI,miRCarta - miRBase overview
http://www.microrna.gr/tarbase,SI,RISE:  RNA Interactome from Sequencing Experiments
http://www.ebi.ac.uk/gxa,SI,algo salio mal
http://hocomoco.autosome.ru/ and http://www.cbrc.kaust.edu.sa/hocomoco11/,SI,algo salio mal
http://jaspar.genereg.net,NO,RNArchitecture
http://remap.cisreg.eu,SI,404 Not Found
http://bioinfo.life.hust.edu.cn/lncRNASNP2,NO,algo salio mal
http://compgenomics.utsa.edu/MeTDB/ and http://www.xjtlu.edu.cn/metdb2,SI,NCBI/mweb11 - WWW Error 404 Diagnostic
http://bigd.big.ac.cn/methbank,SI,algo salio mal
http://miRTarBase.mbc.nctu.edu.tw/,SI,Translatome Database
http://modomics.genesilico.pl,NO,
http://www.noncode.org,SI,NONCODE
